Field=#~Integer~#~50|Field=Comment~String~Comment~101|Field=Description~String~Description~101|Field=Designator~String~Designator~101|Field=Footprint~String~Footprint~101|Field=LibRef~String~LibRef~101|Field=Quantity~Integer~Quantity~101|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~iMX6 Rex_V1I1.PrjPcb|ReportField=ProjectFullPath~D:\2 Supplier\5 设备 板卡\IMX6-Rex\iMX6 Rex V1I1 Download All Files saved in AD2010\V1I1\Step 6 - Source Files\iMX6 Rex\V1I1\iMX6 Rex_V1I1.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [iMX6 Rex_V1I1_PCB.PcbDoc]|ReportField=ReportTime~19:56:53|ReportField=ReportDate~2019/4/13|ReportField=ReportDateTime~2019/4/13 19:56:53|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~457|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=ClientCompanyName~FEDEVEL Academy|ReportField=ClientContactEmail~robert.feranec@fedevel.com|ReportField=ClientContactName~Robert Feranec|ReportField=ClientWebsite~http://www.fedevel.com/academy/|ReportField=Company~(c) 2013 FEDEVEL www.fedevel.com|ReportField=Project~iMX6 Rex Module|ReportField=VersionRevision~V1I1|ReportField=DataSourceFileName~iMX6 Rex_V1I1_PCB.PcbDoc|ReportField=DataSourceFullPath~D:\2 Supplier\5 设备 板卡\IMX6-Rex\iMX6 Rex V1I1 Download All Files saved in AD2010\V1I1\Step 6 - Source Files\iMX6 Rex\V1I1\iMX6 Rex_V1I1_PCB.PcbDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|1u|CAP CER 1.0UF 16V X5R 0402|C1, C206, C207, C225, C226|C0402|C1005X5R1C105K|5
2|10uF|CAP CER 10UF 35V X5R 1206|C2, C209, C210, C220, C228, C229, C241|C1206|GRM31CR6YA106KA12L|7
3|220n|CAP CER .22UF 25V X5R 20% 0402|C3, C4, C5, C6, C8, C9, C10, C11, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C64, C68, C73, C75, C76, C77, C79, C81, C82, C90, C91, C92, C93, C94, C95, C97, C98, C99, C100, C102, C103, C104, C105, C107, C108, C109, C110, C112, C113, C114, C115, C116, C117, C119, C120, C121, C122, C123, C124, C125, C126, C130, C131, C132, C133, C134, C136, C138, C140, C142, C143, C144, C145, C146, C149, C150, C152, C153, C154, C155, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C174|C0402|C1005X5R1E224M|126
4|100n|CAP CER .10UF 50V X5R 10% 0402|C7, C18, C20, C63, C65, C66, C67, C74, C87, C88, C89, C181, C187, C190, C192, C195, C203, C205, C211, C212, C219, C224, C230, C231, C238, C239, C240, C242|C0402|C1005X5R1H104K|28
5|22u|CAP CER 22UF 4V 20% X5R 0603|C12, C13, C14, C15, C16, C17, C96, C101, C106, C111, C118, C127, C128, C129, C135, C151, C172, C173|C0603|GRM188R60G226MEA0L|18
6|10u|CAP CER 10UF 6.3V X5R 20% 0603|C19, C80, C177, C178, C180, C186, C191, C194, C199, C204, C221, C222, C223|C0603|C1608X5R0J106M|13
7|10n|CAP CER 10000PF 50V 10% X7R 0402, CAP CER 10000PF 16V X7R 10% 0402|C69, C70, C71, C72, C139, C182, C183, C184, C185, C188, C189, C193, C196, C197, C198, C200, C201, C202, C218, C237, C248, C249|C0402|C1005X7R1H103K, C1005X7R1C103K|22
8|4u7|CAP CER 4.7UF 10V 20% X5R 0402|C78, C243, C244, C245, C246, C247|C0402|C1005X5R1A475M|6
9|18p|CAP CER 18PF 50V C0G 5% 0402|C83, C84, C85, C86|C0402|C1005C0G1H180J|4
10|22u|CAP CER 22UF 16V 10% X5R 0805|C137, C141, C147, C148, C156|C0805|C2012X5R1C226K|5
